"date","CO","SO2","NO2","PM25"
2016-01-01,0.22450175,0.0906948703703704,5.4291665,4.49346845777778
2016-01-02,0.31548,0.245885769230769,11.535145,8.67692027619048
2016-01-03,0.424841,0.472506291666667,14.6191437777778,11.4686297980769
2016-01-04,0.28218625,0.112369,8.574513,4.9202831875
2016-01-05,0.368638166666667,0.238935518518519,19.6499999,8.38441325773196
2016-01-06,0.77426325,1.14859124074074,33.1958333,16.331700159292
2016-01-07,0.870887833333333,2.03325937037037,42.0124999,21.1163504508929
2016-01-08,0.611228916666667,0.754901759259259,30.0390529,16.2395238190476
2016-01-09,0.450317083333333,0.256202925925926,19.4244566,10.1407448318584
2016-01-10,0.297817,0.115070888888889,7.84624822222222,4.14288251612903
2016-01-11,0.246037,0.260334611111111,10.8609849,6.11622150442478
2016-01-12,0.439033666666667,0.507049296296296,22.5416667,8.28128510619469
2016-01-13,0.250181333333333,0.445743592592593,10.9708333,8.46653144196429
2016-01-14,0.394362833333333,1.25618707407407,21.3124998,11.4136257628866
2016-01-15,0.988132916666667,1.08354001851852,39.7041666,20.4425678785047
2016-01-16,0.385320166666667,0.0704517037037037,15.5708333,8.67678571889401
2016-01-17,0.281576083333333,0.0507841481481482,11.941104,6.5905245047619
2016-01-18,0.284050416666667,0.171005777777778,8.7458333,8.87224827083333
2016-01-19,0.249589333333333,0.212076851851852,9.3333334,5.23728878801843
2016-01-20,0.257654083333333,0.126057888888889,15.2908009,6.55505480530973
2016-01-21,0.254556083333333,0.140901148148148,12.4874999,8.62257643362832
2016-01-22,0.287019833333333,0.124412314814815,16.3069444,3.86050912432433
2016-01-23,0.227149666666667,0.126753777777778,8.0844698,4.37256637168142
2016-01-24,0.287330916666667,0.216115851851852,16.4748052,7.33734514159292
2016-01-25,0.634015416666667,1.03640809259259,35.6315218,17.1168727822222
2016-01-26,0.56521575,0.754346185185185,34.7791668,15.1178097433628
2016-01-27,0.280217333333333,0.256089648148148,20.0053571,10.2415093238095
2016-01-28,0.705279166666667,0.65535141509434,33.277099,13.1638788571429
2016-01-29,0.48730675,0.505776814814815,23.2175866,15.0433096929825
2016-01-30,0.314698083333333,0.251843796296296,13.9375,8.33233313114754
2016-01-31,0.464529083333333,0.568120833333333,25.3944372,12.5662706570248
2016-02-01,0.511971083333333,0.348605222222222,27.2315476,13.1580527017544
2016-02-02,0.431028666666667,0.122406333333333,23.7047619,7.5868388442623
2016-02-03,0.443632166666667,0.0895151111111111,23.5791666,6.34211350917431
2016-02-04,0.30894025,0.0708714814814815,13.9322464,6.16324596721311
2016-02-05,0.267177083333333,0.0203827222222222,11.3208334,4.87545195081967
2016-02-06,0.414127333333333,0.319088333333333,19.9833332,7.69661546153846
2016-02-07,0.535769916666667,0.645119537037037,25.4232035,16.7756860327869
2016-02-08,0.3234715,0.0850012962962963,14.8041667,7.5459016557377
2016-02-09,0.387412833333333,0.0403522407407408,23.2362554,9.67878190265487
2016-02-10,0.38292575,0.399331773584906,16.3541665,12.7163985132743
2016-02-11,0.224532083333333,0.157266509433962,8.6210144,6.13072888679245
2016-02-12,0.306246916666667,0.27536912244898,13.4393939,6.2733236223176
2016-02-13,0.2882065,0.283918528301887,7.6541667,9.05223000877193
2016-02-14,0.313949166666667,0.100015833333333,7.7081169,5.86948545614035
2016-02-15,0.454083333333333,0.663623433962264,30.4625,12.855141440367
2016-02-16,0.339268333333333,0.145078980769231,18.8856059,8.93604498245614
2016-02-17,0.2563152,0.1241,14.6916668,9.15062134210526
2016-02-18,0.235564583333333,0.0476089259259259,11.2041666,5.66566881545064
2016-02-19,0.384121416666667,0.237471574074074,21.8166667,6.5417691147541
2016-02-20,0.313738,0.302215462962963,12.6791667,8.26536749122807
