"date","CO","SO2","NO2","PM25"
2016-01-01,0.19283725,0.77375,6.1705542,3.89794326382979
2016-01-02,0.186575416666667,0.8634254,6.8768941,6.35391303478261
2016-01-03,0.212336166666667,1.23212356666667,9.0636364,8.96061593913043
2016-01-04,0.2409775,0.838471933333333,8.6348352,4.91806338325991
2016-01-05,0.289223583333333,0.7151569,13.8074075555556,7.40243710377359
2016-01-06,0.460521,1.28979953333333,25.1141763333333,9.24831472641509
2016-01-07,0.66768075,2.42808983333333,30.2992203333333,12.9029320704846
2016-01-08,0.406710363636364,1.18377886666667,15.9168397,10.4084897130435
2016-01-09,0.2802345,0.761203933333333,11.5368742,9.75764493043478
2016-01-10,0.24192475,0.9992391,6.6911869,3.12986417180617
2016-01-11,0.210186666666667,0.983373,6.1482457,2.71565231304348
2016-01-12,0.303447083333333,1.28426076666667,15.5222106,7.18840918691589
2016-01-13,0.228396166666667,1.13192696551724,7.7437879,3.45232379059829
2016-01-14,0.285348833333333,1.50465913333333,14.5856999,8.9674298490566
2016-01-15,0.432859583333333,1.843075,17.4632481,13.5775274622642
2016-01-16,0.306788083333333,1.1142857,10.6488637,5.55160255982906
2016-01-17,0.21685875,0.9688244,7.1522726,5.16533018867925
2016-01-18,0.198311333333333,1.17908,6.443106,3.46151729245283
2016-01-19,0.18621375,0.842207766666667,5.8753525,2.40002709401709
2016-01-20,0.19867525,0.535459833333333,7.2773302,3.79384833962264
2016-01-21,0.221633666666667,0.545780433333333,8.2287024,3.19613071698113
2016-01-22,0.21395575,0.65,9.4323863,3.33156896581197
2016-01-23,0.19387125,0.5217516,6.6390151,3.7659984245283
2016-01-24,0.215031583333333,0.6310232,7.8291845,4.39465409433962
2016-01-25,0.283347583333333,0.861111133333333,15.50986,6.13414454424779
2016-01-26,0.344776416666667,0.870197068965517,19.8702382,10.9002973867925
2016-01-27,0.256530833333333,0.607808344827586,9.2170453,5.71854833018868
2016-01-28,0.343357583333333,0.897678533333333,17.2892858,5.65146862820513
2016-01-29,0.394124833333333,1.1703518,17.157197,10.8149012169811
2016-01-30,0.238740666666667,0.640673033333333,7.7674243,5.65086478301887
2016-01-31,0.272731666666667,1.06249996666667,12.5280303,8.04957265384615
2016-02-01,0.25739175,0.903935733333333,10.2292857,8.20872086956522
2016-02-02,0.304974,0.736621166666667,15.3661309,5.22007299065421
2016-02-03,0.363996363636364,0.6158309,12.8448679,5.1987705982906
2016-02-04,0.2455965,0.442463933333333,8.2047619,3.42788162616822
2016-02-05,0.23512775,0.392137566666667,9.3367424,3.94616730434783
2016-02-06,0.322497083333333,0.491587333333333,15.4656357,6.93053841152263
2016-02-07,0.366723583333333,0.891448533333333,14.0066342,12.9174637565217
2016-02-08,0.20580575,0.532362866666667,7.0815789,4.00310651304348
2016-02-09,0.276822166666667,0.8548207,15.0625,5.07725408510638
2016-02-10,0.464172181818182,1.29598486666667,22.5844155,12.7280102897196
2016-02-11,0.247720666666667,0.759642966666667,7.9617425,3.70155615652174
2016-02-12,0.265358,0.655833433333333,12.1960608,4.81209083076923
2016-02-13,0.266290583333333,0.8240635,10.3627537,7.91176762616822
2016-02-14,0.215328916666667,0.616249866666667,5.355238,7.40594983018868
2016-02-15,0.373545833333333,1.01456713333333,18.1841667,9.96907050854701
2016-02-16,0.34540575,0.885078966666667,12.6696429,6.30798586086957
2016-02-17,0.267609916666667,0.506249966666667,8.0830466,5.60119465217391
2016-02-18,0.23914625,0.397063466666667,7.6856061,4.63623262962963
2016-02-19,0.292392166666667,0.633571466666667,13.785,6.5142218
2016-02-20,0.25054875,0.680000033333333,9.0791668,6.99376946728972
2016-02-21,0.270773083333333,0.658187166666667,6.6922294,3.99471366519824
2016-02-22,0.255407916666667,0.500720433333333,9.1468609,3.60395339393939
2016-02-23,0.264997333333333,0.475833366666667,11.5822944,5.08432885046729
2016-02-24,0.242768454545455,0.519827551724138,10.2434525,2.74711560493827
2016-02-25,0.231562916666667,0.990588678571429,6.0350001,3.12347622429907
2016-02-26,0.21247575,0.6125001,4.9026514,2.16853654782609
2016-02-27,0.23280775,0.606996833333333,7.1769047,4.38749999559471
2016-02-28,0.260002833333333,1.16007046666667,9.23888866666667,8.67618564227642
2016-02-29,0.274196083333333,0.9333333,12.1111113333333,8.92539855652174
2016-03-01,0.22796125,0.561845333333333,7.6633332,2.9900952907489
2016-03-02,0.230004083333333,0.673268566666667,6.5907895,5.20942712264151
2016-03-03,0.231192416666667,0.5086904,7.4999999,3.74823581308411
2016-03-04,0.26025375,0.529913793103448,10.7683333,5.31368685596708
2016-03-05,0.23368125,0.4665151,7.4639286,5.34032609565217
2016-03-06,0.272942666666667,0.7183332,10.2833335,7.66170290434783
2016-03-07,0.361272,0.898730033333333,18.5941669,14.5919067283951
2016-03-08,0.366897333333333,0.906711633333333,14.0741666,14.9395700782609
2016-03-09,0.314549833333333,0.914593666666667,13.1977744,14.6212176956522
2016-03-10,0.381002583333333,1.08924953333333,18.0766823,13.0990479835391
2016-03-11,0.26579675,0.645541566666667,8.4136507,2.54471013913043
2016-03-12,0.2562985,0.56,8.8625,4.69786231304348
2016-03-13,0.237310583333333,0.700257933333333,6.27,4.19507108230453
2016-03-14,0.194691333333333,0.451071433333333,5.4100001,4.50828314782609
2016-03-15,0.215595666666667,0.641666666666667,6.3099746,1.7324738
2016-03-16,0.224991333333333,0.725090433333333,7.2733022,2.21328605349794
2016-03-17,0.261176916666667,0.805231793103448,9.7556797,3.22879073913043
2016-03-18,0.240474083333333,0.8115206,7.2944444,3.01147133043478
2016-03-19,0.223350083333333,0.616984033333333,5.6400001,3.13463648971193
2016-03-20,0.201773416666667,0.593472366666667,4.2275001,3.37644926086957
2016-03-21,0.251048333333333,0.902554266666667,7.7866667,4.74574097391304
2016-03-22,0.234711583333333,0.8549535,7.8208517,4.69027255555556
2016-03-23,0.270006166666667,1.00559516666667,11.6314284,8.09129805217391
2016-03-24,0.20242875,0.6741386,6.0215909,5.40514179130435
2016-03-25,0.295056583333333,0.9110468,12.4075,6.27233272340426
2016-03-26,0.235886083333333,0.514007833333333,5.3741667,3.98507246086956
2016-03-27,0.233514916666667,0.525416633333333,6.6072728,5.70137680869565
2016-03-28,0.255089333333333,0.910611533333333,9.1328729,2.64596827572016
2016-03-29,0.222639416666667,0.607073310344828,4.3551207,2.45941083478261
2016-03-30,0.249321583333333,0.282427344827586,10.5791666,4.81788908695652
2016-03-31,0.225520666666667,0.419673966666667,6.9780795,6.57846663374486
2016-04-01,0.22535675,0.623972233333333,6.8233441,4.22191871304348
2016-04-02,0.261481166666667,0.6580556,8.4667533,3.94963768695652
2016-04-03,0.214483583333333,0.564372133333333,4.5283333,2.98875172016461
2016-04-04,0.234659666666667,0.5299244,10.3107539,4.45105697196262
2016-04-05,0.233798083333333,0.401148933333333,7.8448946,5.96832927102804
2016-04-06,0.304109916666667,0.6392302,13.0903861,5.8319783652968
2016-04-07,0.232142666666667,0.599981766666667,8.1663597,4.34508191304348
2016-04-08,0.254940333333333,0.640132379310345,7.6851731,3.92930056521739
2016-04-09,0.227771,0.458620586206897,7.0635714,4.78560284255319
